Impression_ID,Userid,Listing_ID,Plus,Rank,Price,Booked
405,A3AMvvTT,13140432,0,5,235,0
406,A3AMvvTT,14068513,0,6,282,0
407,A3AMvvTT,14071933,0,7,282,0
408,A3AMvvTT,14072680,0,8,282,0
409,A3AMvvTT,20322055,0,9,252,0
410,A3AMvvTT,20322202,0,10,223,0
411,A3AMvvTT,21062970,0,11,235,0
412,A3AMvvTT,21267121,0,12,282,0
413,A3AMvvTT,27668343,0,13,250,0
414,A3AMvvTT,28483791,0,14,124,0
415,A3AMvvTT,28488431,0,15,208,0
416,A3AMvvTT,28495316,0,16,150,0
417,A3AMvvTT,31571374,0,17,243,0
418,A3AMvvTT,31802949,0,18,200,0
419,A3AMvvTT,32118568,0,19,173,0
420,A3AMvvTT,36104319,0,20,188,0
421,A3AMvvTT,36637796,0,21,178,0
422,A3AMvvTT,36982780,0,22,95,0
423,A3AMvvTT,38022100,0,23,203,0
424,A3AMvvTT,38123319,0,24,210,0
425,A3AMvvTT,38151123,0,25,210,0
426,A3AMvvTT,38678234,0,26,399,0
427,A3AMvvTT,39007825,0,27,174,0
428,A3AMvvTT,39359174,0,28,219,0
429,A3AMvvTT,39569048,0,29,175,0
430,A3AMvvTT,40536667,0,30,234,0
431,A3AMvvTT,42049771,0,31,169,0
432,A3AMvvTT,43123765,0,32,245,0
433,A3AMvvTT,43156280,0,33,182,0
434,A3AMvvTT,43348175,0,34,200,0
435,A3AMvvTT,43367113,0,35,185,0
436,A3AMvvTT,43820536,0,36,189,0
437,A3AMvvTT,44519908,0,37,100,1
438,A3AMvvTT,44608896,0,38,227,0
439,A3AMvvTT,45053706,0,39,160,0
440,A3AMvvTT,45469731,0,40,178,0
441,AkyZ62ov,793723,0,1,250,0
442,AkyZ62ov,5374761,0,2,210,0
443,AkyZ62ov,7576657,0,3,186,0
444,AkyZ62ov,11815241,0,4,282,0
445,AkyZ62ov,13140432,0,5,235,0
446,AkyZ62ov,14068513,0,6,282,0
447,AkyZ62ov,14071933,0,7,282,0
448,AkyZ62ov,14072680,0,8,282,0
449,AkyZ62ov,20322055,0,9,252,0
450,AkyZ62ov,20322202,0,10,223,0
451,AkyZ62ov,21062970,0,11,235,0
452,AkyZ62ov,21267121,0,12,282,0
